INSTNM,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,CCUGPROF,ADM_RATE,SAT_AVG,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,COSTT4_A,COSTT4_P,PCTFLOAN,GRAD_DEBT_MDN,FEMALE,MEDIAN_HH_INC,UGDS_MEN,UGDS_WOMEN,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_HISPANIC,PCT_BA,PCT_GRAD_PROF,PCT_BORN_US,MD_EARN_WNE_P10,MD_EARN_WNE_P6,TRANS_4,CONTROL,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD
Pima Medical Institute-Albuquerque,Albuquerque,NM,87110,35.10488,-106.594381,4,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,913,0,0.0727,0.2831,0.0208,0.0104,0.1506,0.4623,NULL,22256,0.6885,8708,0.829969059,59572.48,0.2103,0.7897,71.01000214,5.070000172,4.630000114,27.20999908,15.02000046,7.699999809,84.40000153,27700,25200,NULL,3,0.2125,0.0241,0.5904,0.0153,0.1194,0,0.0208,0,0.0175,0,0,0,0,0
Prescott College,Prescott,AZ,86301,34.5445,-112.476509,9,0.7043,1039,0.0096,0.1923,0,0.0192,0,0,0,0,0.1154,0,0,0,0,0,0.0385,0.0769,0,0,0,0,0.0288,0.1346,0,0,0.0096,0,0.2885,0,0.0192,0.0481,0,0,0,0,0,0.0192,0,0,397,0.0026,0.5244,0.3884,0.0013,0.0053,0.0555,0.0225,38597,NULL,0.5991,19500,0.706422018,62739.99,0.3829,0.6171,81.87000275,3.279999971,2.619999886,15.36999989,18.61000061,12.19999981,89.04000092,32500,26500,0,2,0.665,0.0252,0.0605,0.0176,0.0353,0,0.0453,0.005,0.1461,0,0,0,0,0
Refrigeration School Inc,Phoenix,AZ,85034-1816,33.448692,-111.989357,4,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0.9961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0039,0,0,0,0,0,0,0,688,0,0.0409,0.5322,0.0351,0.0234,0.076,0.2924,NULL,24346,0.6464,11750,0.024657534,57880.38,0.9884,0.0116,70.52999878,4,1.879999995,27.67000008,13.18000031,6.550000191,85.04000092,40800,33800,NULL,3,0.3285,0.0756,0.1991,0.0073,0.064,0.0058,0.0174,0,0.3023,0,0,0,0,0
Rio Salado College,Tempe,AZ,85281,33.413138,-111.975201,1,NULL,NULL,0.0003,0.0002,0,0,0,0.0281,0.1086,0,0.0136,0,0.0002,0.0021,0.0091,0.02,0.0005,0.0423,0,0,0,0,0.0067,0,0,0,0.0019,0,0,0.3391,0,0,0.0236,0.0114,0.0066,0.0017,0.0362,0.0421,0.3055,0,7515,0.0044,0.1177,0.6961,0.0406,0.0341,0.013,0.0941,11130,NULL,0.1491,7897.5,0.665562914,62743.54,0.3434,0.6566,77.12000275,4.670000076,2.150000095,22.29000092,15.82999992,7.880000114,86.76000214,38100,30700,NULL,1,0.5353,0.1206,0.2013,0.0221,0.0202,0.0023,0.023,0.0094,0.0657,0.5522,0.1092,0.0236,0.0191,0.1443
Roberto-Venn School of Luthiery,Phoenix,AZ,85007,33.45489,-112.086161,-2,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,0,0,0.8788,0,0.0909,0.0303,0,NULL,22273,0.5256,PrivacySuppressed,PrivacySuppressed,63275.06,0.9375,0.0625,84.06999969,4,3.029999971,12.06999969,17.44000053,10.07999992,88.81999969,23500,PrivacySuppressed,NULL,3,0.9063,0.0313,0.0313,0,0,0,0,0.0313,0,0,0,0,0,0
Hair Academy of Safford,Safford,AZ,85546,32.835302,-109.727696,-2,NULL,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0.7059,0.1176,0,0.1765,0,NULL,15399,0.1628,PrivacySuppressed,PrivacySuppressed,42963.02,0.027,0.973,75.48999786,1.74000001,0.610000014,32.59000015,7.25,5.599999905,94.38999939,PrivacySuppressed,PrivacySuppressed,NULL,3,0.5405,0,0.4595,0,0,0,0,0,0,0.7157,0.0588,0,0.0882,0.1275
Scottsdale Community College,Scottsdale,AZ,85256,33.509489,-111.887298,1,NULL,NULL,0.0052,0,0,0,0.0005,0.007,0.0319,0.0479,0.007,0,0.0038,0,0.0005,0,0.0014,0.2394,0,0,0,0,0.0329,0.0066,0,0,0.0324,0,0,0.0347,0,0,0.0023,0,0,0,0.3225,0.0761,0.1479,0,6998,0.0227,0.0614,0.7643,0.0187,0.021,0.0415,0.0704,12472,NULL,0.1474,7300,0.529575505,67477.78,0.484,0.516,80.80999756,3.049999952,2.24000001,16.31999969,20.52000046,10.52999973,87.34999847,35400,30400,NULL,1,0.5763,0.0509,0.1828,0.0284,0.0584,0.0044,0.0254,0.0111,0.0622,0.6691,0.0428,0.0252,0.0421,0.1052
South Mountain Community College,Phoenix,AZ,85042,33.381001,-112.057515,1,NULL,NULL,0,0,0,0,0,0,0.0763,0,0.0381,0,0,0,0,0,0,0.3998,0,0,0,0,0.0541,0,0,0,0.0418,0,0,0,0,0,0,0,0,0,0.3124,0,0.0775,0,3416,0.0128,0.0347,0.2257,0.1688,0.0216,0.0324,0.504,11710,NULL,0.2335,8919.5,0.591561549,55144.14,0.4265,0.5735,60.36999893,8.369999886,1.840000033,42.79999924,12.63000011,6.5,79.22000122,28900,24300,NULL,1,0.1268,0.1806,0.5155,0.0266,0.043,0.0026,0.0161,0.0141,0.0746,0.1849,0.2038,0.0364,0.0644,0.42
Arizona Christian University,Phoenix,AZ,85032-7097,33.595117,-112.026211,13,0.5123,997,0,0,0,0,0.134,0,0,0,0.1546,0,0,0,0,0,0,0.0103,0,0.0309,0,0,0,0,0,0.1959,0,0,0.2268,0,0,0.0412,0,0,0,0,0.0103,0,0.1959,0,644,0,0.05,0.8667,0,0,0,0.0833,34794,NULL,0.4098,22500,0.303983229,65520.64,0.6056,0.3944,82.26999664,2.349999905,2.390000105,19.70999908,16.14999962,8.220000267,87.58999634,33600,29800,0,2,0.5606,0.1242,0.1739,0.0124,0.0078,0.0078,0.0621,0.0264,0.0248,0,0,0,0,0
Tucson College,Tucson,AZ,85711,32.22205,-110.883181,-2,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2581,0,0,0,0,0.7194,0.0161,0,279,0,0,0.5029,0.1029,0.0171,0.0114,0.3657,NULL,25472,0.4103,9499,0.523326572,49079.18,0.3907,0.6093,72.33000183,3.920000076,1.909999967,33.06000137,12.72000027,7.699999809,85.91999817,22700,18800,NULL,3,0.3047,0.0645,0.5269,0.0143,0.0466,0.0036,0.0143,0,0.0251,0,0,0,0,0
Universal Technical Institute of Arizona Inc,Avondale,AZ,85323,33.453533,-112.289693,4,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2100,0,0.1994,0.5141,0.0172,0.0497,0.021,0.1985,NULL,23544,0.6326,18243,0.037417763,64889.67,0.9652,0.0348,73.59999847,7.360000134,4.420000076,19.86000061,14.61999989,7.449999809,84.62999725,43700,34000,NULL,3,0.4662,0.0319,0.2757,0.0229,0.0614,0.0333,0.0838,0.0005,0.0243,0,0,0,0,0
Western International University,Tempe,AZ,85282,33.403625,-111.964182,11,NULL,NULL,0,0,0,0,0.022,0,0.0366,0,0,0,0,0,0,0.0293,0,0,0,0,0,0,0.1392,0,0,0,0,0,0,0,0,0.0366,0,0,0,0,0,0,0.7363,0,914,0.039,0.0622,0.65,0.065,0.0427,0.0139,0.1272,17637,NULL,0.3584,26438,0.65915493,59120.06,0.3709,0.6291,74.52999878,13.88000011,2.849999905,11.69999981,14.02999973,7.190000057,89.73999786,47500,44200,0,3,0.5044,0.1411,0.1466,0.012,0.023,0.0066,0.0044,0.0011,0.1608,0.537,0.1224,0.019,0.0268,0.117
Empire Beauty School-NW Phoenix,Phoenix,AZ,85051,33.538093,-112.118168,-2,NULL,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0.0889,0.4222,0.2222,0.0222,0,0.2444,NULL,17520,0.6552,11631,0.939078752,51858.75,0.0968,0.9032,64.27999878,5.46999979,1.820000052,43.15999985,9.149999619,4.619999886,77.76000214,17000,16200,NULL,3,0.1613,0.2194,0.3613,0,0.0258,0.0129,0.0065,0,0.2129,0,0,0,0,0
Yavapai College,Prescott,AZ,86301,34.547512,-112.454156,1,NULL,NULL,0.0258,0,0,0,0,0,0.0351,0,0.0251,0,0.0033,0,0,0.0073,0.004,0.3263,0,0,0,0,0,0.0013,0,0,0,0,0,0.0668,0.0179,0,0.0093,0.045,0.0238,0.0185,0.0212,0.3064,0.0629,0,5112,0.0005,0.2188,0.7047,0.0052,0.0091,0.0183,0.0433,10902,NULL,0.1259,9447,0.555172414,48093.18,0.4268,0.5732,86.30999756,0.939999998,0.839999974,11.09000015,12.18999958,7.239999771,93.26999664,27700,23200,NULL,1,0.5919,0.0106,0.1457,0.0094,0.0258,0.0031,0.0147,0.0016,0.1972,0,0,0,0,0
University of Arkansas at Little Rock,Little Rock,AR,72204,34.726644,-92.341835,5,0.8983,990,0,0,0,0,0.0199,0,0.0258,0,0.0346,0.0223,0.0281,0.0252,0,0,0.0375,0.1125,0,0.0504,0.0064,0,0.0006,0,0.007,0,0.0182,0,0.0609,0.0615,0.0205,0.0305,0,0,0,0,0.0346,0.2185,0.1699,0.0152,7888,0.0255,0.0148,0.6163,0.3012,0.0208,0.0058,0.0156,20714,NULL,0.4702,20500,0.641144625,51732.17,0.3995,0.6005,70.05000305,26.06999969,1.019999981,2.569999933,14.52999973,7.630000114,96.62999725,33500,30000,0.3591,1,0.5158,0.2679,0.0731,0.0229,0.0028,0,0.0889,0.024,0.0046,0,0,0.0254,0,0
University of Arkansas for Medical Sciences,Little Rock,AR,72205-7199,34.749718,-92.320945,7,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,761,0.005,0,0.8314,0.1285,0.0083,0.0134,0.0134,NULL,NULL,0.5915,12500,0.801801802,49718.16,0.1905,0.8095,79.33999634,16.45000076,0.860000014,2.970000029,13,6.829999924,96.69999695,60700,53800,NULL,1,0.7556,0.1143,0.0526,0.0263,0.0079,0,0.025,0.0039,0.0145,0,0,0,0,0
ABC Beauty College Inc,Arkadelphia,AR,71923,34.12018,-93.080831,-2,NULL,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0.4828,0.5172,0,0,0,NULL,11465,0.9756,16500,PrivacySuppressed,42338.39,0.2857,0.7143,78.37999725,17.67000008,0.460000008,3.359999895,10.78999996,6.670000076,96.76999664,PrivacySuppressed,PrivacySuppressed,NULL,3,0.5714,0.4286,0,0,0,0,0,0,0,0.4,0.6,0,0,0
Arkansas Baptist College,Little Rock,AR,72202-6068,34.734751,-92.290555,11,NULL,NULL,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0.6014,0,0,0,0,0,0,0.014,0,0,0,0,0.0699,0.0979,0,0,0,0,0,0.0559,0,0.1119,0,989,0,0,0.005,0.995,0,0,0,19723,NULL,0.8921,42281,0.222631095,43283.78,0.6936,0.3064,50.86000061,44.66999817,1.029999971,3.470000029,11.96000004,6.159999847,96.45999908,22300,16900,0,2,0.0394,0.9484,0.0061,0,0,0,0,0.0061,0,0.0531,0.9305,0.0014,0.0041,0
Arkansas Beauty School-Little Rock,Little Rock,AR,72209,34.669071,-92.334814,-2,NULL,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0.12,0.8,0.04,0,0.04,NULL,17753,0.78,6333,PrivacySuppressed,46467.08,0.1622,0.8378,51.06000137,44.34000015,0.930000007,3.430000067,12.64999962,6.190000057,96.16999817,15500,PrivacySuppressed,NULL,3,0.0676,0.9054,0,0,0,0,0,0,0.027,0,0,0,0,0
Arkansas Beauty College,Russellville,AR,72801,35.278622,-93.13522,-2,NULL,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12931,0.6,6333,PrivacySuppressed,NULL,0.0435,0.9565,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,NULL,3,0.913,0,0.087,0,0,0,0,0,0,0,0,0,0,0
Lyon College,Batesville,AR,72501,35.778934,-91.628115,14,0.5912,1120,0,0,0,0,0,0,0,0,0,0,0,0.0244,0,0,0.0813,0,0,0.2195,0.065,0,0,0,0.0163,0,0.0488,0,0.1463,0,0,0.0976,0,0,0,0,0.0813,0,0.1626,0.0569,675,0.0573,0.0064,0.8705,0.0297,0.0149,0.0127,0.0085,34566,NULL,0.6526,25000,0.40952381,48616.43,0.5274,0.4726,88.70999908,6.869999886,0.930000007,3.130000114,11.39000034,5.940000057,96.81999969,40500,30800,0,2,0.7481,0.0607,0.0667,0.0178,0.0193,0,0,0.0237,0.0637,0.8424,0.0407,0.0136,0.0102,0.0254
Arkansas College of Barbering and Hair Design,North Little Rock,AR,72114,34.753621,-92.266336,-2,NULL,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0.1493,0.8507,0,0,0,NULL,22080,0.6991,16296,0.441441441,44157.53,0.5455,0.4545,50.77999878,45.25,0.75999999,2.900000095,12.05000019,6.170000076,96.76999664,14700,13600,NULL,3,0.0511,0.9432,0,0,0,0,0,0,0.0057,0,0,0,0,0
Arthur's Beauty College Inc-Fort Smith,Fort Smith,AR,72901-3342,35.379955,-94.410967,-2,NULL,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0.7174,0.087,0.1522,0.0217,0.0217,NULL,15442,0.5833,12030,PrivacySuppressed,44415.8,0,1,81.37000275,5.639999866,2.970000029,6.389999866,9.229999542,4.960000038,93.16000366,15900,13600,NULL,3,0.8276,0.069,0.0345,0.0345,0.0345,0,0,0,0,0.6,0.1,0.175,0.075,0.05
University of Arkansas,Fayetteville,AR,72701,36.06153,-94.178214,15,0.6006,1154,0.0533,0.0062,0.0164,0.0007,0.0742,0,0.0121,0,0.0409,0.0989,0,0.0124,0.0478,0,0.0262,0,0,0.0461,0.0052,0,0,0.0578,0.0031,0,0.0243,0,0.0328,0.0164,0.0086,0.0599,0,0,0,0,0.0321,0.0858,0.2149,0.024,21815,0.0317,0.0072,0.8333,0.0641,0.0286,0.0206,0.0144,21288,NULL,0.3998,21500,0.553561172,52450.53,0.4776,0.5224,84.94999695,7.809999943,1.480000019,5.21999979,15.19999981,8.479999542,94.62999725,43100,35300,0,1,0.7722,0.0479,0.076,0.0248,0.0112,0.0008,0.0329,0.0301,0.0042,0,0,0,0,0
University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,34.242192,-92.021263,11,0.4616,871,0.0585,0.0028,0,0,0.0195,0,0.0334,0,0.0836,0,0.0529,0,0.0613,0,0.0167,0.0836,0,0.1003,0.0056,0,0,0,0,0,0.0279,0,0.0669,0.1253,0.0362,0.039,0,0,0,0,0.0279,0.0195,0.1393,0,2526,0.0164,0.0003,0.0373,0.9419,0.0021,0.0003,0.0017,15994,NULL,0.6964,26748,0.5634759,42634.24,0.4371,0.5629,42.91999817,52.70000076,0.959999979,3.940000057,10.64000034,5.139999866,96.37999725,26700,20200,0.1752,1,0.0439,0.9248,0.0131,0.0036,0.002,0,0.0008,0.0103,0.0016,0.0301,0.9495,0.0008,0.0008,0.0041
Arkansas State University-Beebe,Beebe,AR,72012-1000,35.074512,-91.896165,2,NULL,NULL,0.0107,0,0,0,0,0,0,0,0.0255,0,0.0646,0,0.0036,0,0,0.3503,0,0,0,0,0,0,0,0,0,0,0,0.0812,0,0,0,0.1126,0.1103,0,0.0053,0.1855,0.0504,0,2889,0.0008,0.0029,0.8953,0.0684,0.0098,0.0092,0.0137,12460,NULL,0.1155,5174.5,0.568717654,47850.96,0.4299,0.5701,91.83999634,5.269999981,0.419999987,1.870000005,9.729999542,5.010000229,97.63999939,29000,23300,NULL,1,0.8204,0.0616,0.0571,0.0069,0.0045,0.0021,0.044,0.0024,0.001,0,0,0,0,0
Arkansas State University-Main Campus,Jonesboro,AR,72401,35.842779,-90.680478,13,0.7024,1088,0.0461,0.0065,0,0,0.0428,0,0.0172,0,0.1266,0.0191,0.0042,0.0023,0,0,0.0074,0.2058,0,0.0247,0.007,0,0.0028,0.0424,0.0023,0,0.0144,0,0.0363,0.0042,0.0168,0.0466,0,0,0,0,0.02,0.1778,0.1215,0.0051,8909,0.0138,0.0024,0.8414,0.1275,0.007,0.0024,0.0056,20349,NULL,0.5406,19500,0.604255319,42159.88,0.4291,0.5709,83.26000214,13.94999981,0.49000001,1.929999948,9.409999847,5.170000076,98.04000092,31700,26500,0.2985,1,0.7431,0.1375,0.0249,0.0073,0.0037,0.0007,0.0199,0.0559,0.0071,0,0,0,0,0
Arkansas Tech University,Russellville,AR,72801-2222,35.295227,-93.13233,7,0.8911,NULL,0.0173,0.0089,0,0.0008,0.0224,0,0.0161,0.0123,0.0998,0.03,0.0207,0.0034,0.0038,0,0.0101,0.0275,0,0.0106,0.0038,0,0.151,0.0101,0,0,0.0106,0,0.0275,0.0537,0.0097,0.0152,0,0.0372,0.0127,0,0.0156,0.2575,0.1019,0.0097,8799,0.0167,0,0.9078,0.0387,0.0113,0.0118,0.0137,17260,NULL,0.4407,17750,0.555164562,43602.11,0.451,0.549,89.76000214,5.539999962,0.600000024,3.650000095,9.960000038,4.940000057,96.66000366,33000,27800,0.219,1,0.7571,0.0981,0.0581,0.0117,0.0084,0.0006,0.0272,0.0389,0,0,0,0,0,0
University of Arkansas at Monticello,Monticello,AR,71656,33.589788,-91.812971,10,NULL,NULL,0.0227,0.0045,0,0,0.0055,0,0,0,0.0355,0,0.0637,0.0027,0.0519,0,0.0127,0.2639,0,0.0027,0.0036,0,0.0646,0.0218,0,0,0.0091,0,0.0182,0.02,0.0009,0.0018,0,0.0619,0.0364,0,0.0118,0.1665,0.111,0.0064,2549,0.0014,0,0.7466,0.2267,0.0056,0.0066,0.0131,16691,NULL,0.5342,15000,0.532460733,39642.34,0.4563,0.5437,64.18000031,32.63999939,0.400000006,2.849999905,9.25,3.880000114,97.66000366,30600,23300,0,1,0.6269,0.2907,0.0384,0.0059,0.0016,0.0012,0.0302,0.0051,0,0,0,0,0,0
Arthur's Beauty College Inc-Jacksonville,Jacksonville,AR,72076,34.8918,-92.102284,-2,NULL,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0.7407,0.1667,0.0556,0,0.037,NULL,14727,0.6092,10173.5,0.945945946,47817.42,0.0741,0.9259,74.63999939,22.28000069,0.629999995,1.789999962,10.94999981,5.360000134,97.55000305,14100,16200,NULL,3,0.7593,0.1296,0.0556,0,0,0,0.037,0,0.0185,0.7568,0.2162,0,0,0.027
Baptist Health College-Little Rock,Little Rock,AR,72210-2820,34.713115,-92.40692,-2,0.3235,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,663,0,0,0.7937,0.1887,0.0071,0.0071,0.0035,24556,NULL,0.8678,13585,0.885416667,50522.63,0.1282,0.8718,75.94999695,20.92000008,0.680000007,1.929999948,12.53999996,6.190000057,97.41999817,44800,44000,NULL,2,0.7285,0.1976,0.0226,0.0136,0.0075,0.0015,0.0271,0,0.0015,0,0,0,0,0
Black River Technical College,Pocahontas,AR,72455,36.239793,-90.951033,2,NULL,NULL,0,0,0,0,0,0,0,0,0.0042,0,0,0,0,0,0,0.1535,0,0,0,0,0.0296,0,0,0,0,0,0,0.1648,0,0,0,0.0746,0.0254,0,0,0.4775,0.0704,0,1289,0,0.0024,0.9806,0.0073,0.0048,0.0024,0.0024,12005,NULL,0.3097,8750,0.629473684,38741.83,0.3452,0.6548,96.30000305,1.480000019,0.150000006,0.99000001,6.53000021,3.970000029,98.87000275,25600,20800,NULL,1,0.9519,0.0287,0.0093,0.0031,0.0039,0,0.0031,0,0,0,0,0,0,0
University of Central Arkansas,Conway,AR,72035-0001,35.078196,-92.45931,13,0.9218,1068,0,0.0072,0,0.0007,0.0392,0,0.017,0,0.1073,0,0,0.0085,0.0654,0,0.032,0.0713,0,0.0419,0.0085,0,0.0072,0.0144,0.0039,0,0.0209,0,0.0595,0,0.0039,0.053,0,0,0,0,0.0641,0.1975,0.1602,0.0164,9340,0.0284,0.0056,0.7889,0.1442,0.0119,0.0095,0.0115,19686,NULL,0.5169,21415,0.612903226,48705.91,0.4087,0.5913,79.80000305,16.56999969,0.720000029,2.50999999,12.18000031,6.150000095,97.20999908,36900,29000,0.2265,1,0.6574,0.1843,0.0474,0.0173,0.0051,0.0011,0.0353,0.0435,0.0086,0,0,0,0,0
Central Baptist College,Conway,AR,72034,35.084574,-92.444102,13,0.4749,968,0,0,0,0,0.0078,0,0,0,0.0234,0,0,0,0,0,0,0.1719,0,0.0234,0,0.0156,0,0,0,0.2344,0,0,0.2031,0,0,0,0,0,0,0,0,0.0391,0.2813,0,777,0.0131,0,0.9213,0.0499,0.0105,0.0026,0.0026,23292,NULL,0.6061,25000,0.444954128,50351.38,0.5367,0.4633,83.27999878,12.46000004,0.810000002,2.980000019,11.67000008,5.690000057,97.05999756,33700,28400,0.175,2,0.6667,0.2368,0.0296,0.0013,0.0167,0.0013,0.0077,0.0399,0,0,0,0,0,0
Cossatot Community College of the University of Arkansas,De Queen,AR,71832,34.043389,-94.3673,1,NULL,NULL,0.0103,0,0,0,0.0034,0,0,0.0223,0.0137,0,0,0,0.0034,0,0,0.1764,0,0,0,0,0.0068,0,0,0,0,0,0,0,0,0,0,0.1918,0.2414,0,0,0.2962,0.0342,0,1006,0,0.0037,0.8294,0.0982,0.0037,0.0209,0.0442,11415,NULL,0,PrivacySuppressed,0.664921466,40394.08,0.332,0.668,79,12.60999966,0.25999999,9.170000076,7.25,3.039999962,93.43000031,23400,20200,NULL,1,0.6034,0.0934,0.2296,0.005,0.0199,0.001,0.0477,0,0,0.7371,0.1324,0.0049,0.0107,0.0993
Crowley's Ridge College,Paragould,AR,72450,36.066239,-90.58482,10,NULL,NULL,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,181,0.0178,0,0.8994,0.0651,0.0059,0,0.0118,19935,NULL,0.6339,19470.5,0.423357664,43531.15,0.547,0.453,89.69000244,7.269999981,0.479999989,2.289999962,9.25,4.800000191,97.83000183,28000,18900,0.5439,2,0.9006,0.0829,0.011,0,0,0.0055,0,0,0,0,0,0,0,0
Crowley's Ridge Technical Institute,Forrest City,AR,72335-0925,35.041908,-90.767807,-2,NULL,NULL,0,0,0,0,0,0,0,0.028,0,0,0.014,0,0.0559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769,0.2657,0.049,0.2028,0,0.2378,0.0699,0,205,0,0,0.3191,0.4752,0,0,0.2057,8881,NULL,0,PrivacySuppressed,0.481617647,36585.52,0.5707,0.4293,58.72000122,39.31999969,0.379999995,2.539999962,6.420000076,3.339999914,99.09999847,18200,16500,NULL,1,0.3902,0.5951,0.0098,0,0,0,0.0049,0,0,0,0,0,0,0
East Arkansas Community College,Forrest City,AR,72335-2204,35.039673,-90.767445,2,NULL,NULL,0,0,0,0,0,0,0,0,0.0137,0,0.0648,0,0.0034,0,0,0.3925,0,0,0,0,0,0,0,0,0,0,0,0.1058,0,0,0,0.0273,0,0,0,0.2457,0.1468,0,721,0.0022,0.0007,0.5928,0.3822,0.0074,0.0015,0.0133,9284,NULL,0.0276,3500,0.625541126,36763.69,0.4022,0.5978,57.02999878,40.79999924,0.430000007,3.150000095,6.449999809,3.380000114,99.16000366,20300,17900,NULL,1,0.5492,0.3897,0.0277,0.0166,0.0028,0,0.0125,0.0014,0,0,0,0,0,0
Eastern College of Health Vocations-Little Rock,Little Rock,AR,72205,34.75126,-92.341981,-2,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,149,0,1,0,0,0,0,0,NULL,14984,0.6535,3693,0.952339688,47009.67,0.0537,0.9463,58.72999954,37.54000092,0.879999995,2.789999962,12.18000031,6.260000229,96.72000122,19600,16700,NULL,3,0.302,0.6779,0.0201,0,0,0,0,0,0,0,0,0,0,0
Imagine-Paul Mitchell Partner School,North Little Rock,AR,72117,34.791306,-92.221304,-2,NULL,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0.15,0.85,0,0,0,NULL,20827,0.6324,12965,0.973214286,50392.05,0.0571,0.9429,64.12999725,32.25999832,0.779999971,2.329999924,12.77999973,6.429999828,97,PrivacySuppressed,PrivacySuppressed,NULL,3,0.6254,0.2286,0.0508,0.0063,0.0127,0,0.0095,0.0032,0.0635,0.8245,0.1649,0,0,0.0106
National Park College,Hot Springs,AR,71913,34.512731,-93.117111,2,NULL,NULL,0,0,0,0,0,0,0.0349,0,0.0429,0,0,0,0.0121,0,0,0.437,0,0,0,0,0.008,0,0,0,0,0,0,0.0295,0,0,0,0.0362,0.0107,0,0.0107,0.3177,0.0603,0,2061,0.0027,0.0341,0.8691,0.0668,0.0067,0.009,0.0117,13067,NULL,0.3832,11533,0.605209047,42516.37,0.3751,0.6249,88.87000275,7.570000172,0.469999999,2.670000076,10.26000023,5.679999828,96.93000031,24900,21700,NULL,1,0.7797,0.1179,0.0694,0.0136,0.0141,0,0,0,0.0053,0.8304,0.098,0.0102,0.0137,0.0353
